trainee_id,location,training_batch,category_tags,rating_score,open_text,week_start_date,week_end_date
T001,Bangalore,L1-2024-B01,"infrastructure,training_program",1,"Severe technical issues this week. Laptop keeps freezing and network is completely unstable. Can't complete assignments on time.",2024-10-07,2024-10-13
T002,Chennai,L1-2024-C01,"trainer_feedback,assessment",2,"Assessment was very difficult and trainer didn't prepare us well. Feeling lost and stressed about the course.",2024-10-07,2024-10-13
T003,Hyderabad,L1-2024-H01,"infrastructure,batch_owner_experience",1,"Network problems are unbearable. Batch owner is not responsive to our technical complaints.",2024-10-07,2024-10-13
T004,Pune,L1-2024-P01,"training_program,mentor_support",2,"Course pace is too fast. Mentor is busy and doesn't have time to help with doubts.",2024-10-07,2024-10-13
T005,Mumbai,L1-2024-M01,"infrastructure,engagement_experience",1,"Technical setup is a disaster. Losing motivation because of constant system failures.",2024-10-07,2024-10-13
T006,Bangalore,L1-2024-B01,"trainer_feedback,training_program",2,"Trainer seems rushed and doesn't explain concepts clearly. Training material is confusing.",2024-10-07,2024-10-13
T007,Chennai,L1-2024-C01,"assessment,batch_owner_experience",1,"Assessment stress is overwhelming. Batch owner doesn't understand the pressure we're under.",2024-10-07,2024-10-13
T008,Hyderabad,L1-2024-H01,"infrastructure,mentor_support",1,"Internet keeps disconnecting. Mentor tries to help but can't fix the technical problems.",2024-10-07,2024-10-13
T009,Pune,L1-2024-P01,"training_program,engagement_experience",2,"Curriculum is poorly organized. Learning environment is stressful and not conducive to learning.",2024-10-07,2024-10-13
T010,Mumbai,L1-2024-M01,"trainer_feedback,infrastructure",1,"Trainer is okay but technical issues make it impossible to learn. Very frustrated.",2024-10-07,2024-10-13
T011,Bangalore,L1-2024-B02,"infrastructure,training_program",2,"Lab setup is broken. Training sessions are constantly interrupted by technical failures.",2024-10-14,2024-10-20
T012,Chennai,L1-2024-C02,"trainer_feedback,mentor_support",2,"Trainer delivery needs improvement. Mentor is supportive but overwhelmed with requests.",2024-10-14,2024-10-20
T013,Hyderabad,L1-2024-H02,"infrastructure,assessment",1,"Still facing severe network issues. Assessment week made everything worse. Very stressed.",2024-10-14,2024-10-20
T014,Pune,L1-2024-P02,"batch_owner_experience,engagement_experience",2,"Batch owner communication is poor. Overall atmosphere is negative and demotivating.",2024-10-14,2024-10-20
